Item ID,Item Name,Purchase Count,Item Price,Total Purchase Value
92,Final Critic,13,$4.88,$59.99
178,"Oathbreaker, Last Hope of the Breaking Storm",12,$4.23,$50.76
82,Nirvana,9,$4.90,$44.10
145,Fiery Glass Crusader,9,$4.58,$41.22
103,Singed Scalpel,8,$4.35,$34.80
59,"Lightning, Etcher of the King",8,$4.23,$33.84
108,"Extraction, Quickblade Of Trembling Hands",9,$3.53,$31.77
78,"Glimmer, Ender of the Moon",7,$4.40,$30.80
72,Winter's Bite,8,$3.77,$30.16
132,Persuasion,9,$3.19,$28.99
60,Wolf,8,$3.54,$28.32
179,"Wolf, Promise of the Moonwalker",6,$4.48,$26.88
160,Azurewrath,6,$4.40,$26.40
25,Hero Cane,6,$4.35,$26.10
37,"Shadow Strike, Glory of Ending Hope",8,$3.16,$25.28
139,"Mercy, Katana of Dismay",5,$4.94,$24.70
128,"Blazeguard, Reach of Eternity",5,$4.91,$24.55
138,"Peacekeeper, Wit of Dark Magic",5,$4.74,$23.70
87,"Deluge, Edge of the West",5,$4.43,$22.15
159,"Oathbreaker, Spellblade of Trials",7,$3.08,$21.56
136,Ghastly Adamantite Protector,6,$3.58,$21.48
65,Conqueror Adamantite Mace,5,$4.24,$21.20
102,Avenger,6,$3.44,$20.64
133,Faith's Scimitar,5,$4.09,$20.45
39,"Betrayal, Whisper of Grieving Widows",5,$3.94,$19.70
111,Misery's End,4,$4.89,$19.56
165,Bone Crushing Silver Skewer,4,$4.86,$19.44
75,Brutality Ivory Warmace,8,$2.42,$19.36
52,Hatred,4,$4.84,$19.36
157,"Spada, Etcher of Hatred",4,$4.80,$19.20
114,Yearning Mageblade,5,$3.82,$19.10
24,Warped Fetish,5,$3.81,$19.05
88,"Emberling, Defender of Delusions",5,$3.75,$18.75
96,Blood-Forged Skeletal Spine,6,$3.09,$18.54
120,Agatha,6,$3.08,$18.48
50,Dawn,4,$4.60,$18.40
57,"Despair, Favor of Due Diligence",4,$4.60,$18.40
11,Brimstone,5,$3.65,$18.25
34,Retribution Axe,8,$2.22,$17.76
66,Victor Iron Spikes,4,$4.40,$17.60
154,Feral Katana,4,$4.40,$17.60
68,"Storm-Weaver, Slayer of Inception",4,$4.32,$17.28
163,Thunderfury Scimitar,5,$3.45,$17.25
35,Heartless Bone Dualblade,5,$3.45,$17.25
137,"Aetherius, Boon of the Blessed",5,$3.39,$16.95
80,Dreamsong,5,$3.39,$16.95
116,Renewed Skeletal Katana,4,$4.18,$16.72
58,"Freak's Bite, Favor of Holy Might",4,$4.14,$16.56
20,Netherbane,5,$3.27,$16.35
100,Blindscythe,5,$3.27,$16.35
5,Putrid Fan,4,$4.08,$16.32
113,Solitude's Reaver,4,$4.07,$16.28
77,"Piety, Guardian of Riddles",4,$4.00,$16.00
170,Shadowsteel,4,$3.97,$15.88
146,Warped Iron Scimitar,5,$3.10,$15.50
45,Glinting Glass Edge,4,$3.85,$15.40
40,Second Chance,6,$2.52,$15.12
54,Eternal Cleaver,6,$2.50,$15.00
153,Mercenary Sabre,4,$3.74,$14.96
3,Phantomlight,6,$2.49,$14.94
2,Verdict,6,$2.48,$14.88
15,Soul Infused Crystal,5,$2.96,$14.80
147,"Hellreaver, Heirloom of Inception",3,$4.93,$14.79
140,Striker,5,$2.94,$14.70
64,Fusion Pummel,3,$4.82,$14.46
98,"Deadline, Voice Of Subtlety",5,$2.89,$14.45
167,"Malice, Legacy of the Queen",4,$3.61,$14.44
53,Vengeance Cleaver,7,$2.05,$14.35
109,"Downfall, Scalpel Of The Emperor",3,$4.76,$14.28
150,Deathraze,5,$2.85,$14.25
41,Orbit,3,$4.75,$14.25
95,Singed Onyx Warscythe,3,$4.74,$14.22
16,Restored Bauble,4,$3.55,$14.20
94,Mourning Blade,4,$3.49,$13.96
89,"Blazefury, Protector of Delusions",3,$4.64,$13.92
174,Primitive Blade,4,$3.47,$13.88
67,"Celeste, Incarnation of the Corrupted",4,$3.46,$13.84
175,Woeful Adamantite Claymore,3,$4.48,$13.44
162,Abyssal Shard,5,$2.67,$13.35
83,Lifebender,4,$3.33,$13.32
22,Amnesia,6,$2.18,$13.08
119,"Stormbringer, Dark Blade of Ending Misery",3,$4.32,$12.96
76,Haunted Bronzed Bludgeon,4,$3.15,$12.60
172,Blade of the Grave,4,$3.14,$12.56
74,Yearning Crusher,3,$4.18,$12.54
117,"Heartstriker, Legacy of the Light",7,$1.79,$12.53
85,Malificent Bag,7,$1.75,$12.25
79,"Alpha, Oath of Zeal",3,$4.05,$12.15
105,Hailstorm Shadowsteel Scythe,4,$3.03,$12.12
182,Toothpick,3,$4.03,$12.09
148,"Warmonger, Gift of Suffering's End",3,$4.03,$12.09
44,Bonecarvin Battle Axe,5,$2.38,$11.90
93,Apocalyptic Battlescythe,6,$1.97,$11.82
8,"Purgatory, Gem of Regret",3,$3.93,$11.79
1,Crucifer,4,$3.26,$11.77
144,Blood Infused Guardian,6,$1.94,$11.64
61,Ragnarok,3,$3.87,$11.61
164,Exiled Doomblade,7,$1.63,$11.41
84,Arcane Gem,3,$3.79,$11.37
71,Demise,7,$1.61,$11.27
9,"Thorn, Conqueror of the Corrupted",4,$2.73,$10.92
112,Worldbreaker,4,$2.60,$10.40
73,Ritual Mace,5,$2.05,$10.25
106,Crying Steel Sickle,3,$3.41,$10.23
151,Severance,3,$3.40,$10.20
110,Suspension,7,$1.44,$10.08
63,Stormfury Mace,2,$4.99,$9.98
29,"Chaos, Ender of the End",5,$1.98,$9.90
173,Stormfury Longsword,2,$4.93,$9.86
38,"The Void, Vengeance of Dark Magic",4,$2.37,$9.48
143,Frenzied Scimitar,6,$1.56,$9.36
7,"Thorn, Satchel of Dark Souls",7,$1.33,$9.31
18,"Torchlight, Bond of Storms",2,$4.65,$9.30
129,"Fate, Vengeance of Eternal Justice",6,$1.54,$9.24
166,Thirsty Iron Reaver,3,$3.07,$9.21
123,Twilight's Carver,4,$2.28,$9.12
49,"The Oculus, Token of Lost Worlds",3,$2.96,$8.88
156,Soul-Forged Steel Shortsword,5,$1.77,$8.85
161,Devine,5,$1.76,$8.80
149,"Tranquility, Razor of Black Magic",5,$1.75,$8.75
169,"Interrogator, Blood Blade of the Queen",4,$2.18,$8.72
107,"Splitter, Foe Of Subtlety",4,$2.18,$8.72
122,Unending Tyranny,3,$2.85,$8.55
4,Bloodlord's Fetish,5,$1.70,$8.50
181,Reaper's Toll,5,$1.66,$8.30
19,"Pursuit, Cudgel of Necromancy",8,$1.02,$8.16
142,Righteous Might,3,$2.62,$7.86
